iso3c,Country,Year,Sex,Age_Int,Age_Lower,Deaths,Population,mr,mra,source,Age_Int_cut,Sex_name,asmr
GRC,Greece,2020,b,All ages,NA,9687,10423056,92.93819394235241,92.93819394235241,Excess deaths,NA,Both sexes,62.68509391637976
GRC,Greece,2020,f,All ages,NA,4818.5,5307230,90.79124138203922,90.79124138203922,Excess deaths,NA,Females,60.22623379176902
GRC,Greece,2020,m,All ages,NA,4868.500000000007,5115826,95.16547278973145,95.16547278973145,Excess deaths,NA,Males,65.4536647088954
GRC,Greece,2021,b,All ages,NA,19880.600000000006,10423056,190.7367666450224,190.7367666450224,Excess deaths,NA,Both sexes,135.2290231696183
GRC,Greece,2021,f,All ages,NA,9038.200000000012,5307230,170.29976089221705,170.29976089221705,Excess deaths,NA,Females,118.27184978151564
GRC,Greece,2021,m,All ages,NA,10842.400000000001,5115826,211.93840447270887,211.93840447270887,Excess deaths,NA,Males,152.8262968237805
HRV,Croatia,2020,b,All ages,NA,6898.800000000003,4105268,168.04749409782755,168.04749409782755,Excess deaths,NA,Both sexes,132.59316910604372
HRV,Croatia,2020,f,All ages,NA,3363.0000000000036,2125976,158.18616955224348,158.18616955224348,Excess deaths,NA,Females,115.86474618242494
HRV,Croatia,2020,m,All ages,NA,3535.7999999999993,1979292,178.63963477849651,178.63963477849651,Excess deaths,NA,Males,157.82072018834708
HRV,Croatia,2021,b,All ages,NA,11905.799999999996,4105268,290.01273485677416,290.01273485677416,Excess deaths,NA,Both sexes,231.4688297287613
HRV,Croatia,2021,f,All ages,NA,5672.200000000001,2125976,266.8045170782737,266.8045170782737,Excess deaths,NA,Females,199.82315174792143
HRV,Croatia,2021,m,All ages,NA,6233.600000000002,1979292,314.9408980584978,314.9408980584978,Excess deaths,NA,Males,278.6466475016338
HUN,Hungary,2020,b,All ages,NA,14459.10000000002,9660350,149.67470122718143,149.67470122718143,Excess deaths,NA,Both sexes,128.7956614882299
HUN,Hungary,2020,f,All ages,NA,7428.600000000006,5062062,146.75047441141587,146.75047441141587,Excess deaths,NA,Females,116.69102072984899
HUN,Hungary,2020,m,All ages,NA,7030.500000000007,4598288,152.89385962775728,152.89385962775728,Excess deaths,NA,Males,151.3113447338444
HUN,Hungary,2021,b,All ages,NA,26461.400000000023,9660350,273.91761168073646,273.91761168073646,Excess deaths,NA,Both sexes,236.49344809305853
HUN,Hungary,2021,f,All ages,NA,12254.400000000009,5062062,242.08316689918078,242.08316689918078,Excess deaths,NA,Females,194.98945251529392
HUN,Hungary,2021,m,All ages,NA,14207.000000000007,4598288,308.96281398642293,308.96281398642293,Excess deaths,NA,Males,296.57089740851086
ISL,Iceland,2020,b,All ages,NA,81.59999999999991,341250,23.912087912087884,23.912087912087884,Excess deaths,NA,Both sexes,25.02954393316974
ISL,Iceland,2020,f,All ages,NA,44.90000000000009,169845,26.4358679972917,26.4358679972917,Excess deaths,NA,Females,27.93536285764536
ISL,Iceland,2020,m,All ages,NA,36.700000000000045,171405,21.411277383973655,21.411277383973655,Excess deaths,NA,Males,21.41584413212112
ISL,Iceland,2021,b,All ages,NA,62.80000000000018,341250,18.402930402930455,18.402930402930455,Excess deaths,NA,Both sexes,19.38128772221461
ISL,Iceland,2021,f,All ages,NA,51.799999999999955,169845,30.498395595984544,30.498395595984544,Excess deaths,NA,Females,33.37075266913239
ISL,Iceland,2021,m,All ages,NA,11,171405,6.417549079665121,6.417549079665121,Excess deaths,NA,Males,5.771615765216137
ITA,Italy,2020,b,All ages,NA,121236.80000000016,60461828,200.51792016609252,200.51792016609252,Excess deaths,NA,Both sexes,127.57300666279902
ITA,Italy,2020,f,All ages,NA,58049,31024103,187.10935816581065,187.10935816581065,Excess deaths,NA,Females,111.46619151884764
ITA,Italy,2020,m,All ages,NA,63187.80000000005,29437725,214.6490600071848,214.6490600071848,Excess deaths,NA,Males,145.13082807088108
LTU,Lithuania,2020,b,All ages,NA,7149.5,2722291,262.62805849925667,262.62805849925667,Excess deaths,NA,Both sexes,208.65791353314071
LTU,Lithuania,2020,f,All ages,NA,3168.5000000000036,1462304,216.6786112873933,216.6786112873933,Excess deaths,NA,Females,146.76948316928352
LTU,Lithuania,2020,m,All ages,NA,3981,1259987,315.9556408121671,315.9556408121671,Excess deaths,NA,Males,297.39550897702827
LTU,Lithuania,2021,b,All ages,NA,10569.800000000003,2722291,388.2685576229728,388.2685576229728,Excess deaths,NA,Both sexes,305.19291200171364
LTU,Lithuania,2021,f,All ages,NA,5377.600000000006,1462304,367.7484298750469,367.7484298750469,Excess deaths,NA,Females,250.17616203568443
LTU,Lithuania,2021,m,All ages,NA,5192.200000000001,1259987,412.08361673572824,412.08361673572824,Excess deaths,NA,Males,390.2920033012489
LUX,Luxembourg,2020,b,All ages,NA,248.8000000000011,625976,39.74593275141556,39.74593275141556,Excess deaths,NA,Both sexes,44.08303078869665
LUX,Luxembourg,2020,f,All ages,NA,104,309389,33.61464046879495,33.61464046879495,Excess deaths,NA,Females,36.199475084247034
LUX,Luxembourg,2020,m,All ages,NA,144.80000000000018,316587,45.73782246270383,45.73782246270383,Excess deaths,NA,Males,51.65953955628229
LUX,Luxembourg,2021,b,All ages,NA,-16.99999999999909,625976,-2.715759070635151,-2.715759070635151,Excess deaths,NA,Both sexes,-0.04384803939442916
LUX,Luxembourg,2021,f,All ages,NA,4,309389,1.292870787261344,1.292870787261344,Excess deaths,NA,Females,4.183710016868699
LUX,Luxembourg,2021,m,All ages,NA,-21,316587,-6.633247732850686,-6.633247732850686,Excess deaths,NA,Males,-5.7695424976831395
LVA,Latvia,2020,b,All ages,NA,1540.2000000000007,1886202,81.65615347666903,81.65615347666903,Excess deaths,NA,Both sexes,64.39729583705139
LVA,Latvia,2020,f,All ages,NA,872.7000000000007,1016866,85.82251742117454,85.82251742117454,Excess deaths,NA,Females,53.87126622933573
LVA,Latvia,2020,m,All ages,NA,667.5000000000018,869336,76.78273993024582,76.78273993024582,Excess deaths,NA,Males,78.63726596950106
LVA,Latvia,2021,b,All ages,NA,6626.200000000004,1886202,351.2985353636569,351.2985353636569,Excess deaths,NA,Both sexes,276.8521167780206
LVA,Latvia,2021,f,All ages,NA,3583.4000000000015,1016866,352.39648095225937,352.39648095225937,Excess deaths,NA,Females,231.89944076944798
LVA,Latvia,2021,m,All ages,NA,3042.800000000001,869336,350.01426375992725,350.01426375992725,Excess deaths,NA,Males,347.07232699187904
MEX,Mexico,2020,b,All ages,NA,287743.90000000014,128932753,223.17362602193109,223.17362602193109,Excess deaths,NA,Both sexes,405.9760145679403
MEX,Mexico,2020,f,All ages,NA,102913.06775262399,65861267,156.25734584277583,156.25734584277583,Excess deaths,NA,Females,283.658935573101
